Configuração,Seed,Fold,Acc,Prec,Rec,F1,ROC_AUC,Arquivo
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,0,0,0.82,0.9286,0.619,0.7429,0.9392,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,1,0,0.8431,0.9375,0.6818,0.7895,0.931,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,2,0,0.8627,0.8182,0.8571,0.8372,0.9571,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,3,0,0.8163,0.6818,0.8824,0.7692,0.954,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,4,0,0.8846,0.8182,0.9,0.8571,0.9438,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,5,0,0.92,0.8947,0.8947,0.8947,0.9728,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,6,0,0.9184,0.8636,0.95,0.9048,0.9741,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,7,0,0.92,0.8095,1.0,0.8947,0.9947,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,8,0,0.88,0.8,0.8889,0.8421,0.9705,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,9,0,0.8333,0.8,0.7059,0.75,0.9526,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,10,0,0.902,0.8571,0.9,0.878,0.9484,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,11,0,0.84,0.75,0.8333,0.7895,0.8941,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,12,0,0.875,0.875,0.7778,0.8235,0.963,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,13,0,0.898,0.8182,0.9474,0.878,0.9737,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,14,0,0.8235,0.7778,0.7368,0.7568,0.9276,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,15,0,0.9216,0.8636,0.95,0.9048,0.9887,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,16,0,0.8723,0.8667,0.7647,0.8125,0.9451,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,17,0,0.9184,0.9333,0.8235,0.875,0.9743,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,18,0,0.875,0.7727,0.9444,0.85,0.9704,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,19,0,0.8824,0.8947,0.8095,0.85,0.9683,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,20,0,0.898,0.8235,0.875,0.8485,0.9583,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,21,0,0.86,0.8235,0.7778,0.8,0.9167,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,22,0,0.92,0.8947,0.8947,0.8947,0.9694,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,23,0,0.8958,0.9286,0.7647,0.8387,0.962,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,24,0,0.8431,0.7895,0.7895,0.7895,0.9441,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,25,0,0.88,0.8667,0.7647,0.8125,0.9447,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,26,0,0.7692,0.7273,0.7273,0.7273,0.9015,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,27,0,0.9231,0.8261,1.0,0.9048,0.9825,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,28,0,0.8571,0.875,0.7368,0.8,0.9579,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,29,0,0.9,0.85,0.8947,0.8718,0.9576,./eval_results/DatasetFixedTagTemp_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,0,0,0.8125,0.6842,0.8125,0.7429,0.9102,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,1,0,0.8125,0.7368,0.7778,0.7568,0.8852,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,2,0,0.8462,0.8889,0.7273,0.8,0.9379,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,3,0,0.8571,0.8667,0.7222,0.7879,0.9122,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,4,0,0.8846,0.8,0.9524,0.8696,0.957,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,5,0,0.8367,0.7778,0.7778,0.7778,0.905,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,6,0,0.8723,0.7778,0.875,0.8235,0.9617,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,7,0,0.8235,0.7083,0.8947,0.7907,0.9112,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,8,0,0.8039,0.7083,0.85,0.7727,0.9339,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,9,0,0.8462,0.85,0.7727,0.8095,0.9136,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,10,0,0.8163,0.8125,0.6842,0.7429,0.8579,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,11,0,0.8654,0.7727,0.8947,0.8293,0.8979,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,12,0,0.8298,0.6875,0.7857,0.7333,0.9004,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,13,0,0.92,0.9444,0.85,0.8947,0.9033,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,14,0,0.8367,0.8235,0.7368,0.7778,0.9193,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,15,0,0.82,0.875,0.6667,0.7568,0.936,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,16,0,0.7843,0.7647,0.65,0.7027,0.8226,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,17,0,0.8163,0.6667,0.875,0.7568,0.8788,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,18,0,0.8723,0.7778,0.875,0.8235,0.9254,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,19,0,0.8367,0.75,0.8333,0.7895,0.9014,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,20,0,0.7959,0.75,0.6667,0.7059,0.8907,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,21,0,0.7,0.6667,0.5714,0.6154,0.8079,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,22,0,0.8776,0.8421,0.8421,0.8421,0.9614,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,23,0,0.8125,0.7647,0.7222,0.7429,0.9204,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,24,0,0.8302,0.8333,0.7143,0.7692,0.8527,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,25,0,0.8367,0.7222,0.8125,0.7647,0.8769,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,26,0,0.78,0.8,0.6,0.6857,0.8867,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,27,0,0.84,0.8,0.8,0.8,0.81,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,28,0,0.82,0.75,0.7895,0.7692,0.91,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,29,0,0.8333,0.8,0.7059,0.75,0.8861,./eval_results/DatasetMarcadorMovidoFixo_per_run.csv
Vgg_AUG_CV_DatasetOriginal_9_01,0,0,0.8235,0.72,0.9,0.8,0.9306,./eval_results/DatasetOriginal_per_run.csv
Vgg_AUG_CV_DatasetOriginal_9_01,1,0,0.8571,0.7895,0.8333,0.8108,0.9516,./eval_results/DatasetOriginal_per_run.csv
Vgg_AUG_CV_DatasetOriginal_9_01,2,0,0.8333,0.7368,0.8235,0.7778,0.9279,./eval_results/DatasetOriginal_per_run.csv
Vgg_AUG_CV_DatasetOriginal_9_01,3,0,0.7708,0.6364,0.8235,0.7179,0.8805,./eval_results/DatasetOriginal_per_run.csv
Vgg_AUG_CV_DatasetOriginal_9_01,4,0,0.9412,0.95,0.9048,0.9268,0.9651,./eval_results/DatasetOriginal_per_run.csv
Vgg_AUG_CV_DatasetOriginal_9_01,5,0,0.8039,0.8125,0.65,0.7222,0.9323,./eval_results/DatasetOriginal_per_run.csv
Vgg_AUG_CV_DatasetOriginal_9_01,6,0,0.9038,0.9048,0.8636,0.8837,0.9591,./eval_results/DatasetOriginal_per_run.csv
Vgg_AUG_CV_DatasetOriginal_9_01,7,0,0.875,0.8333,0.8333,0.8333,0.9333,./eval_results/DatasetOriginal_per_run.csv
